org_uuid,org_name,type,parent_uuid,parent_name
cebf7175-ac5a-6f5c-e08f-cba027ec1ccd,Undertone,organization,e34d6925-1261-768f-e935-3ef7ace31376,Perion
28430e5e-1856-b404-b53f-83e8434458a4,Harmonix Music Systems,organization,4522b60d-0b04-827e-2b6c-6eaf236cf636,VIACOM PARAMOUNT on contract at CBS PARAMOUNT+
9c3b6c82-06d6-1363-7e60-18f4e4998e44,Odeo,organization,57be0b6d-1e41-b1c9-bc6d-4a72b8bdcd29,Obvious Corp
9881e522-b34d-ed0c-5018-7a926164b0dd,Omnistar Interactive,organization,d070317a-226b-626b-695d-026ca89fd562,OSI Affiliate Software
389010cf-2f24-fc37-594d-503300d9b31a,YouVersion,organization,744d7fbe-c008-b470-e744-072592d81458,Life.Church
893cce0a-e6b4-49db-c3b7-9de486c842e7,Nesta Ventures,organization,00d387ed-1aaa-d820-d19d-5cafa31bf1d3,Nesta
2b53f8fa-212f-3111-5a52-2255b5c484b3,Disney Interactive,organization,756936c0-c335-f0ae-0a3d-fe26bdff5695,The Walt Disney Company
4770bec0-1594-9cba-a7fc-86522f409e62,Sogeti USA,organization,918e3f5a-6efd-619c-ed3f-26192b0a9423,Sogeti
0dbeb6e4-1192-5582-8b36-06239da88e3f,BCisive,organization,9b6310ae-70a7-f4f6-e530-b7355e327891,Austhink Software
cfc3ddb3-d1d3-bc0d-e012-8d62bf46d8e0,Kontend,organization,7c028b17-3330-3b0c-31f9-a876fe19f743,Slytrunk
fbc7746d-86e0-8fd6-19d8-69280c686d02,Comcast,organization,5ee66260-4824-4d9b-8f06-438207b0a970,SkyShowtime
c083cd7f-d360-44d5-f2c0-b3903d7edc48,Meredith,organization,4e72bac1-e5ba-731e-995d-8da054bdee3b,Time Inc.
92fed872-fd70-a543-5ff4-d070e04b9a12,ServixerLLC,organization,17012887-6466-4018-94f9-6c4c05abab07,ANGI Homeservices
50e7ee45-398f-390d-afc4-8914decdc9f2,Pof,organization,ef2d56f4-c8e4-dc59-d59d-ef5bdc2ca21f,Match Group
2dac3586-428c-da64-52a2-ab2ea2dde4ef,Chase Capital Partners,organization,ab49c193-63c6-680b-7930-8f40e9f55a19,JP Morgan Chase
3ef8f19b-fbee-08e1-379b-79c8fb9b9b5a,ThePlanet,organization,fc5fbe7a-562d-d577-b05e-46797caa134c,IBM
08710a5e-c385-7f52-9751-8b3a89c5a26d,Iomega,organization,e5c42bcc-71b4-0857-8782-ffae92a45eae,Dell EMC
57fd815a-d340-c7ab-a975-dd541a71fec6,GitHub,organization,fd80725f-53fc-7009-9878-aeecf1e9ffbb,Microsoft
a6d1bee1-db2e-48e4-ac4c-48ec6b5c6ef5,S&P Capital IQ,organization,70c237f1-acb9-b46e-b7ef-dcc6d4c7ae9a,S&P Global
ebdeac4d-194f-4dce-fbaf-87d2433412b6,Grey Ventures,organization,d9bb3675-1bae-bab4-98d3-e9e7113d5a79,Grey
9ae1effe-eeb7-b325-7a07-93b2ee97c033,T-Mobile,organization,ab47d80c-7971-c8e6-b620-7483498d0c5b,Deutsche Telekom
560c6b85-f7b7-b5cd-d60c-ef9652882353,Priceline,organization,935f01aa-9de7-9683-827a-c8eac0f9af2d,Booking Holdings
99673ec9-3f72-1c00-fb73-38ea816f427b,FlipKey,organization,488881b5-6ea3-43f1-b295-e40790ec6e96,Tripadvisor
0b39ad68-7903-de3e-44ac-9012999a1318,Factiva,organization,93ad161c-86f3-3f2d-f130-215dcc8cd59c,Dow Jones
0203ce4c-b866-bf5e-fc5e-b2588cb17f8a,G4Native,organization,d4a3b4cc-f5db-45c9-a276-e591bdb8a0c3,Gravity4
0c6e7ee4-328a-7221-55f2-fa890428f650,PIER Systems,organization,c981649a-434c-7b03-4ce4-b798f9a80c8b,Witt O’Brien’s
e4ba2781-c209-0e04-7bee-f33fa339c45b,Android,organization,6acfa7da-1dbd-936e-d985-cf07a1b27711,Google
0b2831b2-d64e-30c4-af5f-67d090c75530,Razorfish,organization,fd80725f-53fc-7009-9878-aeecf1e9ffbb,Microsoft
9c86c7a2-71bc-0f5f-7aff-a4d55545a067,Youcode,organization,7df2c9ef-6fdb-d276-aa56-ab4c74161e40,UCode
04850d4f-10e8-1f2f-e54a-2b9ceae952d5,Qualcomm Ventures,organization,3e3e8a2f-3700-f2c9-6568-4aaae02c07c6,Qualcomm
08935435-06e2-103b-66ed-27b85ed29f7c,Updater Home Services (formerly Bridgevine),organization,0bebb924-6295-c9fb-5f54-39696bf8aa04,Updater
16e2e2d4-b6cd-3695-f3e1-7da753906d0b,Universal Music Group,organization,b49de741-6539-4ff3-a81b-e6e8b02e5884,Leviy Publishing
574f0cd4-f9ba-bbd4-22cb-b86cda8f0ea8,Profy,organization,4235a123-e388-2036-ef01-6d18f8f24382,Online Casino Guide
4bc68929-b0bb-b5b1-2da7-775569d4233d,Warner Bros.,organization,1bd1698c-cd0f-37bb-581b-1a4b6dd1c772,WarnerMedia
e3790d0f-883e-d140-b23e-63760db98b27,KnowledgeBid,organization,ba292710-05a3-2e82-98cc-05877c0442c6,1&1 IONOS
449f82bf-b220-87e0-41c9-ef5160013834,Warner Media,organization,1bd1698c-cd0f-37bb-581b-1a4b6dd1c772,WarnerMedia
155fe7e0-3628-dd4a-98f4-c595c6ad7c75,PokerStars,organization,b0599380-4b5f-d6ec-5f3f-0704d348808a,Rational Group
fe8fef9f-5494-7369-7b8d-a2d83628c2d9,FTD Group,organization,ec5d8cbb-9e69-da4b-a82b-876b20613afd,"FTD Companies, Inc."
e2cbfa35-2cb3-ea80-be83-d9361d29d529,Sports Technologies,organization,cd957959-01f8-109e-2c4b-b44e0fcde668,SportsHub Technologies
8057e248-df03-c364-a231-251f05617b59,Telly,organization,ab6e862f-2afa-4a3b-bdc0-05d22ae3f95b,Cinemagic
6d3856e0-28db-ae63-ad92-1ea6feb54b0b,RBC Venture Partners,organization,9076754e-e6cb-6b3a-3a97-eec77a1b822e,RBC Capital
59888d7d-8983-18e0-7bf9-8bf40dd62dc2,TruePosition,organization,148d24a5-c367-925e-8b99-3671d280f9bf,Qurate Retail
21fb8543-2768-0bc7-9c3d-3df5f0bf7e2b,Eastven Ericsson Venture Partners,organization,dfdddecb-c719-02ec-56f6-da4f071ab6e6,Ericsson
1cb12ef3-0683-605a-9721-fd3311900070,Motorola Solutions Venture Capital,organization,d65bcbfb-b94e-e848-a953-bcd89ab7de00,Motorola Solutions
cf4a210e-663f-d29f-ae33-ceb5fb9dd0c7,HBD Venture Capital,organization,f2b7a72a-8365-9807-32fc-9d751cd699bb,Knife Capital
7919c458-6b81-bbec-1872-bcdb60ef8c9b,NameIntelligence,organization,5650dc0d-a20d-1070-c748-e899562b2c48,DomainTools
9a6e2490-73d0-d316-89d5-d725c4a95050,Barclays Global Investors,organization,8b4b73f6-f945-4d33-994d-ce87bc56365d,Barclays Corporate Banking
